Player Id,This week,Last week,End 2020,Ctry,First Name, Last Name,avg_pts,Total pts,Events played (divisor),points lost,points gained,Events played (actual),Week, Weekend date,
14577,26,26,28,USA,Harris,English,3.8103,198.14,52,-55.46,84.58,55,23,6th June 2021,
4052,27,27,36,ENG,Lee,Westwood,3.6973,184.87,50,-45,96.96,50,23,6th June 2021,
15856,28,28,27,AUS,Cameron,Smith,3.608,176.79,49,-54.69,65.01,49,23,6th June 2021,
19428,29,29,59,USA,Will,Zalatoris,3.4601,173.01,50,-24.8,115.99,50,23,6th June 2021,
18079,30,30,45,CHI,Joaquin,Niemann,3.388,176.18,52,-52.54,99.29,59,23,6th June 2021,
1547,31,33,66,USA,Phil,Mickelson,3.383,155.62,46,-36,111.77,46,23,6th June 2021,
12294,32,32,17,ENG,Tommy,Fleetwood,3.3562,171.17,51,-92.96,45.76,51,23,6th June 2021,
25919,33,31,15,USA,Matthew,Wolff,3.3423,133.69,40,-57.39,6.67,40,23,6th June 2021,
7820,34,35,30,USA,Ryan,Palmer,3.2514,152.82,47,-48.82,66.98,47,23,6th June 2021,
20730,35,34,32,FRA,Victor,Perez,3.1689,136.26,43,-47.07,49.67,43,23,6th June 2021,
17576,36,36,54,CAN,Corey,Conners,3.0997,161.18,52,-45.31,94.44,61,23,6th June 2021,
7452,37,38,38,USA,Kevin,Na,3.0396,155.02,51,-60.93,84.98,51,23,6th June 2021,
19483,38,37,154,USA,Sam,Burns,3.0168,150.84,50,-21.4,120.33,50,23,6th June 2021,
17538,39,42,100,USA,Max,Homa,2.9918,155.57,52,-36.91,117.8,55,23,6th June 2021,
13900,40,44,33,IRL,Shane,Lowry,2.91,151.32,52,-74.96,71.69,53,23,6th June 2021,
6430,41,41,21,AUS,Adam,Scott,2.8944,115.77,40,-75.88,29.14,35,23,6th June 2021,
6093,42,39,35,ENG,Justin,Rose,2.8791,135.32,47,-71.66,63.51,47,23,6th June 2021,
7649,43,40,29,AUS,Marc,Leishman,2.8453,136.57,48,-65.3,53.67,48,23,6th June 2021,
18103,44,43,34,RSA,Christiaan,Bezuidenhout,2.7618,143.61,52,-50.61,37.52,54,23,6th June 2021,
5665,45,45,138,USA,Stewart,Cink,2.7574,118.57,43,-14.5,86.22,43,23,6th June 2021,
8825,46,46,91,USA,Brian,Harman,2.4898,129.47,52,-30.68,80.99,58,23,6th June 2021,
23323,47,47,55,SCO,Robert,MacIntyre,2.452,117.7,48,-39.56,51.93,48,23,6th June 2021,
14609,48,51,95,KOR,Siwoo,Kim,2.4188,125.78,52,-36.55,84.72,63,23,6th June 2021,
5689,49,49,46,ESP,Sergio,Garcia,2.3739,121.07,51,-53.68,53.71,51,23,6th June 2021,
11328,50,48,25,USA,Kevin,Kisner,2.349,122.15,52,-71.25,16.48,54,23,6th June 2021,
14735,51,57,61,MEX,Carlos,Ortiz,2.2469,116.84,52,-33.4,45.08,59,23,6th June 2021,
9531,52,50,40,AUT,Bernd,Wiesberger,2.2335,116.14,52,-55.28,42.58,52,23,6th June 2021,
8480,53,58,52,USA,Kevin,Streelman,2.2304,115.98,52,-43.57,47.26,57,23,6th June 2021,
24342,54,52,90,RSA,Garrick,Higgo,2.229,104.76,47,-19.06,62.09,47,23,6th June 2021,
20706,55,53,50,ENG,Matt,Wallace,2.1929,114.03,52,-55.14,50.77,61,23,6th June 2021,
6169,56,54,37,USA,Matt,Kuchar,2.1509,111.85,52,-76.56,47.68,52,23,6th June 2021,
1435,57,56,48,ENG,Ian,Poulter,2.1466,111.62,52,-48.47,45.59,53,23,6th June 2021,
5768,58,60,144,USA,Charley,Hoffman,2.1376,111.15,52,-24.55,78.82,56,23,6th June 2021,
12577,59,55,39,USA,Gary,Woodland,2.1355,106.78,50,-71.27,40.52,50,23,6th June 2021,
8605,60,59,113,AUS,Matt,Jones,2.1108,109.76,52,-29.56,69.83,60,23,6th June 2021,
12425,61,62,47,USA,Brendon,Todd,2.0905,108.71,52,-38.14,35.49,56,23,6th June 2021,
7334,62,61,44,USA,Bubba,Watson,2.0646,97.04,47,-41.92,28.56,47,23,6th June 2021,
14578,63,63,57,USA,Russell,Henley,2.0255,103.3,51,-31.34,32.51,51,23,6th June 2021,
