Player Id,This week,Last week,End 2020,Ctry,First Name, Last Name,avg_pts,Total pts,Events played (divisor),points lost,points gained,Events played (actual),Week, Weekend date,
16433,154,150,188,USA,Matthew,NeSmith,1.0541,54.81,52,-18.52,25.98,64,24,13th June 2021,
14284,155,166,148,DEN,Joachim,B,1.0505,54.63,52,-18.72,14.64,52,24,13th June 2021,
5716,156,148,304,IRL,Padraig,Harrington,1.0461,47.08,45,-8.25,34.08,45,24,13th June 2021,
14904,157,149,239,JPN,Ryosuke,Kinoshita,1.0421,41.68,40,-9.54,21.48,38,24,13th June 2021,
14975,158,210,153,ESP,Adrian,Otaegui,1.0374,53.95,52,-19.4,15.67,55,24,13th June 2021,
14000,159,151,105,USA,Andrew,Landry,1.0307,52.56,51,-25.98,7.9,51,24,13th June 2021,
17365,160,158,184,USA,Keith,Mitchell,0.9955,51.77,52,-29.19,32.19,55,24,13th June 2021,
14704,161,154,198,USA,Andrew,Putnam,0.9945,51.71,52,-29,35.94,54,24,13th June 2021,
7548,162,154,80,NIR,Graeme,McDowell,0.9898,51.47,52,-37.57,6.48,52,24,13th June 2021,
6283,163,153,117,SVK,Rory,Sabbatini,0.9768,50.8,52,-34.49,16.93,58,24,13th June 2021,
11374,164,161,248,USA,James,Hahn,0.9736,38.94,40,-9.21,19.85,32,24,13th June 2021,
19870,165,164,200,USA,Denny,McCarthy,0.9671,50.29,52,-19.24,23.69,61,24,13th June 2021,
7960,166,165,176,USA,Luke,List,0.964,50.13,52,-23.18,25.17,60,24,13th June 2021,
10943,167,163,119,USA,Nate,Lashley,0.9589,49.86,52,-30.53,15.68,53,24,13th June 2021,
23482,168,160,233,USA,Greyson,Sigg,0.9582,44.08,46,-9.42,22.8,46,24,13th June 2021,
7084,169,159,169,WAL,Jamie,Donaldson,0.9567,42.09,44,-10.97,13.49,44,24,13th June 2021,
12069,170,168,243,USA,Kyle,Stanley,0.9389,48.83,52,-16.31,28.23,54,24,13th June 2021,
17511,171,162,142,AUT,Sepp,Straka,0.9357,48.66,52,-23.27,14.81,64,24,13th June 2021,
26651,172,174,501,USA,Cameron,Young,0.9337,37.35,40,-3.29,29.43,25,24,13th June 2021,
7655,173,167,112,ITA,Francesco,Molinari,0.9298,37.19,40,-42.85,25.55,31,24,13th June 2021,
16165,174,171,157,JPN,Yuki,Inamori,0.9276,37.1,40,-12.41,5.51,39,24,13th June 2021,
5754,175,173,241,RSA,Darren,Fichardt,0.9258,39.81,43,-12.6,17.39,43,24,13th June 2021,
18514,176,170,116,SWE,Marcus,Kinhult,0.9149,36.59,40,-27.13,-,39,24,13th June 2021,
11889,177,184,204,NZL,Ryan,Fox,0.9144,38.41,42,-20.31,15.95,42,24,13th June 2021,
10158,178,175,164,NED,Joost,Luiten,0.9132,47.49,52,-24.41,19.24,55,24,13th June 2021,
25213,179,176,170,USA,Brandon,Wu,0.9122,36.49,40,-11.73,8.8,33,24,13th June 2021,
16549,180,177,143,ITA,Renato,Paratore,0.908,47.21,52,-19.88,7.72,53,24,13th June 2021,
15475,181,169,145,TPE,C.T.,Pan,0.9057,47.09,52,-31.37,22.09,54,24,13th June 2021,
18695,182,182,398,USA,Brandon,Hagy,0.8937,41.11,46,-6.35,31.65,46,24,13th June 2021,
16652,183,178,124,FRA,Romain,Langasque,0.8816,43.2,49,-27.96,8.37,49,24,13th June 2021,
13530,184,198,163,JPN,Masahiro,Kawamura,0.8746,45.48,52,-19.97,11.02,60,24,13th June 2021,
18244,185,179,134,ENG,Callum,Shinkwin,0.8736,36.69,42,-15.33,1.8,42,24,13th June 2021,
16333,186,180,139,USA,Mark,Hubbard,0.8705,45.27,52,-24.73,10.12,65,24,13th June 2021,
14196,187,181,196,POL,Adrian,Meronk,0.8702,44.38,51,-14.92,17.9,51,24,13th June 2021,
14926,188,183,168,USA,Peter,Malnati,0.8601,44.72,52,-19.45,12.93,57,24,13th June 2021,
11826,189,193,140,NZL,Danny,Lee,0.8454,43.96,52,-25.99,10.1,56,24,13th June 2021,
12377,190,186,224,JPN,Tomoharu,Otsuki,0.8391,39.44,47,-13.75,15.25,47,24,13th June 2021,
9252,191,185,247,FIN,Mikko,Korhonen,0.8366,33.46,40,-16.32,19.74,39,24,13th June 2021,
7567,192,187,219,SCO,Marc,Warren,0.8287,33.15,40,-9.52,10.56,35,24,13th June 2021,
6287,193,188,158,AUS,Brad,Kennedy,0.8203,32.81,40,-19.01,9.51,37,24,13th June 2021,
17780,194,190,128,CAN,Taylor,Pendrith,0.8131,38.22,47,-16.63,4.61,47,24,13th June 2021,
22089,195,194,226,SCO,Connor,Syme,0.8129,42.27,52,-15.08,18.74,53,24,13th June 2021,
7881,196,191,86,KOR,Sunghoon,Kang,0.8094,42.09,52,-40.98,4.02,58,24,13th June 2021,
18204,197,200,736,RSA,Jaco,Prinsloo,0.8083,33.95,42,-3.75,30.91,42,24,13th June 2021,
12317,198,201,463,GER,Maximilian,Kieffer,0.808,37.97,47,-7.48,31.2,47,24,13th June 2021,
9675,199,189,104,FRA,Mike,Lorenzo-Vera,0.8068,32.27,40,-25.92,1.54,34,24,13th June 2021,
6930,200,192,180,USA,Vaughn,Taylor,0.8062,41.92,52,-25.76,18.88,54,24,13th June 2021,
20704,201,235,358,ESP,Santiago,Tarrio,0.8044,32.18,40,-4.96,19.4,40,24,13th June 2021,
9099,202,195,266,JPN,Hiroshi,Iwata,0.8024,32.1,40,-9.02,16,36,24,13th June 2021,
7899,203,205,141,USA,Scott,Piercy,0.7975,37.48,47,-27.81,9.63,47,24,13th June 2021,
16648,204,197,221,JPN,Ryuko,Tokimatsu,0.7946,31.79,40,-14.21,13.21,39,24,13th June 2021,
18586,205,203,186,ENG,Jordan,L,0.7936,39.68,50,-19.66,13.44,50,24,13th June 2021,
12359,206,201,245,USA,Scott,Stallings,0.7847,40.81,52,-16.8,21.06,52,24,13th June 2021,
19865,207,231,441,USA,Nick,Hardy,0.7821,31.28,40,-4.77,22.52,40,24,13th June 2021,
7532,208,207,208,AUS,Wade,Ormsby,0.7802,32.77,42,-17.53,11.16,42,24,13th June 2021,
18187,209,204,146,USA,Tyler,Duncan(Jul1989),0.7762,40.36,52,-21.82,4.11,66,24,13th June 2021,
13682,210,456,332,NIR,Jonathan,Caldwell,0.7682,38.41,50,-6.19,25.34,50,24,13th June 2021,
18174,211,206,178,RSA,JC,Ritchie,0.7659,32.93,43,-18.37,13,43,24,13th June 2021,
14016,212,208,117,ESP,Jorge,Campillo,0.7651,39.02,51,-32.63,1.24,51,24,13th June 2021,
13831,213,217,225,SCO,Russell,Knox,0.7576,39.4,52,-20.37,20.48,60,24,13th June 2021,
23505,214,247,264,USA,Max,McGreevy,0.7542,33.94,45,-10.09,18.63,45,24,13th June 2021,
16715,215,213,318,USA,Sam,Ryder,0.754,39.21,52,-11.9,24.7,57,24,13th June 2021,
16566,216,212,210,FRA,Paul,Barjon,0.7514,35.32,47,-13.06,15.24,47,24,13th June 2021,
15191,217,221,227,ENG,Matthew,Southgate,0.7509,39.05,52,-17.3,16.36,52,24,13th June 2021,
8615,218,216,630,PHI,Juvic,Pagunsan,0.7466,29.87,40,-3.72,25.6,27,24,13th June 2021,
22815,219,209,258,AUS,Maverick,Antcliff,0.7454,37.27,50,-14.28,20.91,50,24,13th June 2021,
9413,220,218,183,NED,Wil,Besseling,0.7445,37.23,50,-13.93,10.42,50,24,13th June 2021,
5791,221,215,439,JPN,Katsumasa,Miyamoto,0.7444,29.78,40,-7.43,23.65,36,24,13th June 2021,
6762,222,240,209,USA,Pat,Perez,0.7438,38.68,52,-17.48,18.36,53,24,13th June 2021,
23610,223,211,217,USA,Sean,Crocker,0.7418,36.35,49,-13.98,9.65,49,24,13th June 2021,
12213,224,214,135,FRA,Benjamin,Hebert,0.7361,36.07,49,-26.89,7.19,49,24,13th June 2021,
11852,225,226,260,RSA,Jaco,Ahlers,0.7284,29.14,40,-12.84,14.88,40,24,13th June 2021,
9171,226,222,404,COL,Camilo,Villegas,0.7279,29.11,40,-3.37,17.14,27,24,13th June 2021,
24550,227,220,387,USA,Doug,Ghim,0.7249,37.7,52,-9.01,26.37,56,24,13th June 2021,
15113,228,219,129,ENG,Eddie,Pepperell,0.724,28.96,40,-25.85,4.84,40,24,13th June 2021,
14967,229,320,252,USA,Chesson,Hadley,0.7229,35.42,49,-14.84,16.44,49,24,13th June 2021,
17509,230,229,262,USA,Chase,Seiffert,0.7199,37.44,52,-13.59,20.72,55,24,13th June 2021,
13390,231,223,179,CZE,Ondrej,Lieser,0.7193,28.77,40,-9.5,-,27,24,13th June 2021,
13022,232,224,185,USA,Brian,Stuard,0.7186,37.37,52,-24,13.83,63,24,13th June 2021,
14081,233,225,297,USA,Bo,Hoag,0.7173,37.3,52,-12.57,21.79,65,24,13th June 2021,
8469,234,261,237,USA,Ryan,Armour,0.7149,37.17,52,-17.21,15.27,56,24,13th June 2021,
4818,235,230,469,USA,Steve,Stricker,0.7031,28.12,40,-4.83,20.38,21,24,13th June 2021,
16283,236,228,230,USA,Patrick,Rodgers,0.7022,36.52,52,-14.74,10.84,57,24,13th June 2021,
26660,237,248,228,USA,William,Gordon,0.7006,31.53,45,-10.41,10.71,45,24,13th June 2021,
14559,237,227,211,ZIM,Scott,Vincent,0.7006,36.43,52,-18.37,11.91,57,24,13th June 2021,
13997,239,236,500,CAN,Adam,Svensson,0.6945,33.34,48,-6.05,25.9,48,24,13th June 2021,
14844,240,234,254,ENG,Chris,Paisley,0.6927,32.56,47,-13.9,14.81,47,24,13th June 2021,
14775,241,264,285,SWE,Alexander,Bjork,0.6853,31.53,46,-11.17,17.14,46,24,13th June 2021,
16841,242,233,172,AUS,Min,Woo,0.6842,27.37,40,-16.5,4.71,36,24,13th June 2021,
7489,243,232,171,USA,Ryan,Moore,0.6826,27.3,40,-20.59,8.7,38,24,13th June 2021,
15680,244,237,277,DEN,Jeff,Winther,0.6723,29.58,44,-11.31,15.99,44,24,13th June 2021,
21944,245,241,689,USA,Taylor,Moore,0.6719,26.88,40,-2.51,22.61,39,24,13th June 2021,
14698,246,253,284,USA,Joseph,Bramlett,0.6684,34.76,52,-11.38,17.25,57,24,13th June 2021,
24352,247,238,414,SCO,Craig,Howie,0.6641,31.21,47,-4.02,20.3,47,24,13th June 2021,
18635,248,239,175,USA,Robby,Shelton,0.6622,34.44,52,-24.1,11.55,63,24,13th June 2021,
19477,249,242,238,USA,Adam,Schenk,0.6616,34.4,52,-17,12.92,63,24,13th June 2021,
6893,250,246,231,BEL,Nicolas,Colsaerts,0.6576,28.28,43,-15.55,3.43,43,24,13th June 2021,
5951,251,243,202,USA,Brian,Gay,0.6545,34.03,52,-17.34,5.62,56,24,13th June 2021,
16896,252,259,451,RSA,Jacques,Kruyswijk,0.6509,27.99,43,-6.27,19.14,43,24,13th June 2021,
14209,253,245,275,JPN,Jinichiro,Kozuma,0.6505,27.97,43,-7.14,10.91,43,24,13th June 2021,
14666,254,244,214,ENG,Andrew,Johnston,0.6498,25.99,40,-13.87,7.16,27,24,13th June 2021,
11980,255,254,374,RSA,Neil,Schietekat,0.6491,28.56,44,-7.27,16.26,44,24,13th June 2021,
11357,256,250,493,USA,Peter,Uihlein,0.6412,33.34,52,-7.96,26.1,53,24,13th June 2021,
18579,257,260,190,USA,Austin,Cook,0.634,32.97,52,-15.49,4.77,53,24,13th June 2021,
11397,258,252,232,SCO,Scott,Jamieson,0.6332,29.13,46,-13.35,8.47,46,24,13th June 2021,
16363,259,263,310,FRA,Julien,Brun,0.6322,25.29,40,-5.7,10.12,36,24,13th June 2021,
14128,260,249,160,THA,Gunn,Charoenkul,0.6303,28.99,46,-20.16,2.51,46,24,13th June 2021,
11451,261,255,271,USA,Brice,Garnett,0.6268,32.59,52,-13.78,14.7,54,24,13th June 2021,
15756,262,256,256,JPN,Kazuki,Higa,0.621,25.46,41,-15.16,9.93,41,24,13th June 2021,
14780,263,251,187,SWE,Joakim,Lagergren,0.62,30.38,49,-15.72,2.96,49,24,13th June 2021,
15056,264,257,193,JPN,Mikumu,Horikawa,0.6082,29.2,48,-19.48,3.49,48,24,13th June 2021,
12426,265,258,137,ENG,Paul,Waring(Feb1985),0.6005,24.02,40,-23.14,-,38,24,13th June 2021,
14502,266,262,173,USA,Bud,Cauley,0.5934,23.74,40,-19.69,-,34,24,13th June 2021,
19634,267,279,261,ESP,Pep,Angles,0.5853,24.58,42,-6.7,5.52,42,24,13th June 2021,
25138,268,352,302,GER,Hurly,Long,0.5791,24.9,43,-7.84,11.37,43,24,13th June 2021,
19872,269,266,218,USA,Davis,Riley,0.5782,30.07,52,-11.68,8.16,54,24,13th June 2021,
7046,270,268,223,JPN,Hideto,Tanihara,0.5767,23.07,40,-8.77,-,32,24,13th June 2021,
